Date,Territory,Territory p-code,Governorate,Governorate p-code,Cumulative Displaced Persons in UNRWA Shelters,Daily Displaced Persons in UNRWA Shelters,Cumulative UNRWA Shelters,Daily UNRWA Shelters,Uncertain
#date,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#affected+displaced+shelters+cumulative,#affected+displaced+shelters+daily,#capacity+shelters+cumulative,#capacity+shelters+daily,#meta+uncertain
2023-10-08,Gaza Strip,PS02,Gaza North,PS0255,34350,,19,,
2023-10-08,Gaza Strip,PS02,Gaza,PS0260,15716,,21,,
2023-10-08,Gaza Strip,PS02,Deir Al Balah,PS0265,3332,,4,,
2023-10-08,Gaza Strip,PS02,Khan Younis,PS0270,10050,,11,,
2023-10-08,Gaza Strip,PS02,Rafah,PS0275,10090,,9,,
2023-10-09,Gaza Strip,PS02,Gaza North,PS0255,57075,22725,19,0,
2023-10-09,Gaza Strip,PS02,Gaza,PS0260,25000,9284,32,11,
2023-10-09,Gaza Strip,PS02,Deir Al Balah,PS0265,6950,3618,5,1,
2023-10-09,Gaza Strip,PS02,Khan Younis,PS0270,30307,20257,16,5,
2023-10-09,Gaza Strip,PS02,Rafah,PS0275,18095,8005,11,2,
2023-10-10,Gaza Strip,PS02,Gaza North,PS0255,64916,7841,19,0,
2023-10-10,Gaza Strip,PS02,Gaza,PS0260,36234,11234,32,0,
2023-10-10,Gaza Strip,PS02,Deir Al Balah,PS0265,10176,3226,7,2,
2023-10-10,Gaza Strip,PS02,Khan Younis,PS0270,39840,9533,19,3,
2023-10-10,Gaza Strip,PS02,Rafah,PS0275,24320,6225,11,0,
2023-10-11,Gaza Strip,PS02,Gaza North,PS0255,85629,20713,19,0,
2023-10-11,Gaza Strip,PS02,Gaza,PS0260,41328,5094,32,0,
2023-10-11,Gaza Strip,PS02,Deir Al Balah,PS0265,14598,4422,8,1,
2023-10-11,Gaza Strip,PS02,Khan Younis,PS0270,44654,4814,21,2,
2023-10-11,Gaza Strip,PS02,Rafah,PS0275,32388,8068,12,1,
2023-10-12,Gaza Strip,PS02,Gaza North,PS0255,112367,26738,25,6,
2023-10-12,Gaza Strip,PS02,Gaza,PS0260,47601,6273,32,0,
2023-10-12,Gaza Strip,PS02,Deir Al Balah,PS0265,21499,6901,11,3,
2023-10-12,Gaza Strip,PS02,Khan Younis,PS0270,52222,7568,21,0,
2023-10-12,Gaza Strip,PS02,Rafah,PS0275,36685,4297,13,1,
2023-10-18,Gaza Strip,PS02,Gaza North,PS0255,112367,,25,,
2023-10-18,Gaza Strip,PS02,Gaza,PS0260,47601,,32,,
2023-10-18,Gaza Strip,PS02,Deir Al Balah,PS0265,128550,,28,,
2023-10-18,Gaza Strip,PS02,Khan Younis,PS0270,111220,,31,,
2023-10-18,Gaza Strip,PS02,Rafah,PS0275,113769,,32,,
